code,name,unit_weight_kg,units_per_record,container
A1020,大圓草莓-新(1*440g),0.44,1,玻璃瓶
A1032,小圓草莓(1*170g),0.17,1,玻璃瓶
A1040,開心草莓果醬(1*430g),0.43,1,玻璃瓶
A1050,梨山草莓果醬(1*430g),0.43,1,玻璃瓶
A2020,PET大花生(1*400g),0.4,1,PET瓶
A2020-1,PET大花生(1*400g),0.4,1,PET瓶
A2040,PET瓶花生(1*340g),0.34,1,PET瓶
A2040-1,PET瓶花生(1*340g),0.34,1,PET瓶
A2050,PET瓶花生(粒)(1*340g),0.34,1,PET瓶
A2060,顆粒花生醬(全)(1*340g),0.34,1,玻璃瓶
A3010,小藍莓1*260G,0.26,1,玻璃瓶
A3012,檸檬藍莓醬1*260G,0.26,1,玻璃瓶
B1011,＃1草莓(1*3.2kg),3.2,1,馬口鐵
B1031,＃1草莓原漿(1*3.4kg),3.4,1,馬口鐵
B1040,#2草莓果醬(1*900g),0.9,1,馬口鐵
B2011,＃1花生(1*2.8kg),2.8,1,馬口鐵
B2021,＃1花生(粒)(1*2.8kg),2.8,1,馬口鐵
B2021-1,＃1花生(粒)(1*2.8kg),2.8,1,馬口鐵
B2031,＃2花生(1*800g),0.8,1,馬口鐵
B2041,＃2花生（粒）(1*800g),0.8,1,馬口鐵
B3011,＃1藍莓(1*3.2kg),3.2,1,馬口鐵
B3020,＃2藍莓(1*900g),0.9,1,馬口鐵
B5011,＃1桔子(1*3.2kg),3.2,1,馬口鐵
C1010,草莓果醬(桶)(1*9.5KG),9.5,1,白桶
C1020,天天開心草莓餡4.5KG,4.5,1,白桶
C1030,上好佳草莓餡4.5KG,4.5,1,白桶
C3020,藍莓餡（大）(1*9.08kg),9.08,1,白桶
C3020-1,藍莓餡（大）(1*9.08kg),9.08,1,白桶
C3070,天天開心藍莓餡4.5KG,4.5,1,白桶
C3080,上好佳藍莓餡(大)4.5KG,4.5,1,白桶
C3081,上好佳藍莓餡(大)4.5KG,4.5,1,白桶
C5010,天天開心柳橙餡4.5KG,4.5,1,白桶
C5020,上好佳柳橙餡4.5KG,4.5,1,白桶
C7010,天天開心芒果餡4.5KG,4.5,1,白桶
C7020,上好佳芒果餡(大)4.5KG,4.5,1,白桶
C7021,上好佳芒果餡(大)4.5KG,4.5,1,白桶
C9030,天天熱帶水果餡 4.5KG,4.5,1,白桶
C9050,上好佳綜合莓餡4.5KG,4.5,1,白桶
D0111,草莓餡(1*6Kg),6.0,1,PE袋
D0113,草莓餡45%(1*6Kg),6.0,1,PE袋
D0114,草莓椰果餡(1*6Kg),6.0,1,PE袋
D0115-1,草莓蔓越莓餡(1*6KG),6.0,1,PE袋
D0120,顆粒花生醬(1*12KG),12.0,1,PE袋
D0131,藍莓餡(1*6Kg),6.0,1,PE袋
D0133,藍莓餡(1*6Kg),6.0,1,PE袋
D0134,藍莓餡(1*6Kg),6.0,1,PE袋
D0140-1,蜜桃餡(1*6Kg),6.0,1,PE袋
D0141,白桃烏龍餡(1*6Kg),6.0,1,PE袋
D0174,楊枝甘露餡(1*6Kg),6.0,1,PE袋
