sku_code,prod_date,start_time,end_time,bottles,headcount
A1020,2025-10-02,15:00:00,18:30:00,5832,
A1020,2025-10-03,08:00:00,12:00:00,7938,
A1020,2025-10-28,08:30:00,12:00:00,6816,
A1020,2025-11-12,09:00:00,10:00:00,972,
A1020,2025-11-13,08:00:00,11:30:00,7190,
A1020,2025-11-13,15:40:00,17:00:00,1536,
A1020,2025-11-14,08:00:00,08:20:00,408,
A1020,2025-11-14,11:00:00,15:00:00,4824,
A1020,2025-11-18,08:00:00,12:00:00,6804,
A1020,2025-11-18,15:40:00,17:00:00,1944,
A1020,2025-11-19,08:00:00,11:30:00,4942,
A1020,2025-12-01,14:45:00,16:00:00,972,
A1020,2025-12-02,08:00:00,09:20:00,1944,
A1020,2025-12-03,09:15:00,11:25:00,3874,
A1020,2025-12-04,13:00:00,16:20:00,4860,
A1020,2025-12-08,08:00:00,14:10:00,8837,
A1020,2025-12-18,09:10:00,12:00:00,5832,
A1020,2025-12-19,08:00:00,09:40:00,3729,
A1020,2025-12-30,13:00:00,17:00:00,9532,
A1020,2026-01-09,13:30:00,17:40:00,9644,
A1020,2026-01-26,09:15:00,14:20:00,6776,
A1020,2026-01-28,09:55:00,17:10:00,9720,
A1020,2026-01-30,08:30:00,10:50:00,1186,
A1020,2026-02-23,08:00:00,10:00:00,2682,
A1020,2026-02-28,07:00:00,12:00:00,7776,
A1020,2026-03-03,08:00:00,10:05:00,5749,
A1020,2026-03-13,08:00:00,16:30:00,8748,
A1020,2026-03-14,07:00:00,10:30:00,4813,
A1020,2026-03-30,08:00:00,12:00:00,6804,
A1020,2026-03-31,09:00:00,14:25:00,6729,
A1020,2026-04-09,08:00:00,13:40:00,9329,
A1020,2026-04-15,11:00:00,17:00:00,7776,
A1020,2026-04-16,08:00:00,09:20:00,2926,
A1020,2026-04-21,13:00:00,16:25:00,6704,
A1020,2026-05-08,13:20:00,18:00:00,7776,
A1020,2026-05-09,07:00:00,10:15:00,5592,
A1020,2026-05-28,08:00:00,14:00:00,9418,
A1020,2026-06-10,08:00:00,11:30:00,6758,
A1020,2026-06-18,08:00:00,17:00:00,5316,
A1020,2026-06-22,11:00:00,16:15:00,6778,
A1020,2026-07-07,09:00:00,14:50:00,8172,
A1020,2026-07-08,08:00:00,10:00:00,4044,
A1020,2026-07-17,13:40:00,17:00:00,7896,
A1020,2026-07-20,09:30:00,12:00:00,3963,
A1020,2026-07-23,13:00:00,16:10:00,5832,
A1020,2026-07-24,09:00:00,17:00:00,7510,
A1020,2026-08-03,13:00:00,17:00:00,6696,5
A1020,2026-08-17,09:50:00,16:40:00,6804,5
A1020,2026-08-19,10:30:00,15:15:00,6663,5
A1020,2026-08-29,07:00:00,14:40:00,12399,5
A1032,2025-10-07,08:30:00,10:45:00,3517,
A1032,2025-11-05,14:45:00,17:00:00,2244,
A1032,2025-11-06,11:00:00,12:00:00,1339,
A1032,2025-11-25,09:00:00,15:00:00,3450,
A1032,2026-01-08,13:50:00,15:50:00,3531,
A1032,2026-02-03,08:40:00,09:45:00,3631,
A1032,2026-03-11,14:00:00,15:00:00,612,
A1032,2026-03-11,17:00:00,20:30:00,5390,
A1032,2026-04-22,09:10:00,10:30:00,1266,
A1032,2026-05-15,08:00:00,09:40:00,3549,
A1032,2026-06-23,13:25:00,15:10:00,3535,
A1032,2026-08-11,13:00:00,16:30:00,5399,6
A1040,2025-10-13,11:50:00,16:35:00,5566,
A1040,2025-10-29,15:10:00,17:00:00,3336,
A1040,2025-10-30,08:35:00,09:50:00,2201,
A1040,2025-11-25,15:00:00,17:00:00,1404,
